측정월,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
202111,올림픽공원,0.027,0.022,0.6,0.003,34,22
202111,용산구,0.029,0.018,0.5,0.003,38,22
202111,은평구,0.025,0.019,0.7,0.003,38,24
202111,자연사박물관,0.025,0.029,0.7,0.004,38,22
202111,정릉로,0.044,0.012,0.6,0.003,41,22
202111,종로,0.031,0.016,0.6,0.003,40,20
202111,종로구,0.03,0.02,0.6,0.003,39,23
202111,중구,0.033,0.018,0.5,0.004,40,21
202111,중랑구,0.028,0.023,0.5,0.003,39,19
202111,천호대로,0.038,0.012,0.6,0.003,47,23
202111,청계천로,0.037,0.016,0.7,0.004,42,24
202111,한강대로,0.037,0.014,0.7,0.004,48,22
202111,행주,0.027,0.022,0.8,0.003,40,23
202111,홍릉로,0.04,0.016,0.6,0.004,44,24
202111,화랑로,0.04,0.012,0.6,0.004,37,21
